env,method,seed,episode,sample_return,greedy_return,baseline,critic_samples
delayed_lever,learned_acct,1,100,1.36328125,2.0,0.925964386873241,128
delayed_lever,learned_acct,1,120,1.51171875,2.0,1.196688501683813,128
delayed_lever,learned_acct,1,140,1.4921875,2.0,1.3111307426802097,128
delayed_lever,learned_acct,1,160,1.62109375,2.0,1.3797031581397385,128
delayed_lever,learned_acct,1,180,1.484375,2.0,1.4598314704382074,128
delayed_lever,learned_acct,1,200,1.703125,2.0,1.5698907111324472,128
delayed_lever,learned_acct,1,220,1.6171875,2.0,1.6313247741915962,128
delayed_lever,learned_acct,1,240,1.79296875,2.0,1.6908364270821854,128
delayed_lever,learned_acct,1,260,1.90234375,2.0,1.6283246195683487,128
delayed_lever,learned_acct,1,280,1.84375,2.0,1.6653462554542642,128
delayed_lever,learned_acct,1,300,1.82421875,2.0,1.734704109092148,128
delayed_lever,learned_acct,1,320,1.83984375,2.0,1.738504046007946,128
delayed_lever,learned_acct,1,340,1.82421875,2.0,1.8254232165332014,128
delayed_lever,learned_acct,1,360,1.82421875,2.0,1.7809743405165197,128
delayed_lever,learned_acct,1,380,1.86328125,2.0,1.8320735853787438,128
delayed_lever,learned_acct,1,400,1.94140625,2.0,1.8240829055846173,128
delayed_lever,learned_agent_time_cf,2,1,0.55078125,2.0,0.01,128
delayed_lever,learned_agent_time_cf,2,20,0.72265625,2.0,0.2265643412337462,128
delayed_lever,learned_agent_time_cf,2,40,0.859375,2.0,0.3736032357170014,128
delayed_lever,learned_agent_time_cf,2,60,1.0078125,2.0,0.4918399901398416,128
delayed_lever,learned_agent_time_cf,2,80,1.0703125,2.0,0.7015359426323142,128
delayed_lever,learned_agent_time_cf,2,100,1.12890625,2.0,0.9567315565786266,128
delayed_lever,learned_agent_time_cf,2,120,1.3515625,2.0,1.0434323772198513,128
delayed_lever,learned_agent_time_cf,2,140,1.4921875,2.0,1.1452587684625037,128
delayed_lever,learned_agent_time_cf,2,160,1.43359375,2.0,1.1848940858140409,128
delayed_lever,learned_agent_time_cf,2,180,1.55078125,2.0,1.3577439789155012,128
delayed_lever,learned_agent_time_cf,2,200,1.546875,2.0,1.4492623664717181,128
delayed_lever,learned_agent_time_cf,2,220,1.6484375,2.0,1.4851885680456514,128
delayed_lever,learned_agent_time_cf,2,240,1.74609375,2.0,1.6130722243451185,128
delayed_lever,learned_agent_time_cf,2,260,1.74609375,2.0,1.606685234928567,128
delayed_lever,learned_agent_time_cf,2,280,1.6796875,2.0,1.625146824298649,128
delayed_lever,learned_agent_time_cf,2,300,1.90234375,2.0,1.70497189604629,128
delayed_lever,learned_agent_time_cf,2,320,1.76171875,2.0,1.7135652737620888,128
delayed_lever,learned_agent_time_cf,2,340,1.7421875,2.0,1.750430562133831,128
delayed_lever,learned_agent_time_cf,2,360,1.82421875,2.0,1.7883671700053625,128
delayed_lever,learned_agent_time_cf,2,380,1.77734375,2.0,1.815740021714776,128
delayed_lever,learned_agent_time_cf,2,400,1.921875,2.0,1.7669963078335376,128
delayed_lever,learned_acct,2,1,0.55078125,2.0,0.01,128
delayed_lever,learned_acct,2,20,0.75,2.0,0.2265643412337462,128
delayed_lever,learned_acct,2,40,0.8671875,2.0,0.39761323571700136,128
delayed_lever,learned_acct,2,60,1.0078125,2.0,0.5078692575416813,128
delayed_lever,learned_acct,2,80,1.10546875,2.0,0.7122372093311765,128
delayed_lever,learned_acct,2,100,1.2109375,2.0,0.9874056075346647,128
delayed_lever,learned_acct,2,120,1.4140625,2.0,1.0639106181641245,128
delayed_lever,learned_acct,2,140,1.5390625,2.0,1.158930205364422,128
delayed_lever,learned_acct,2,160,1.53515625,2.0,1.2166192659951085,128
delayed_lever,learned_acct,2,180,1.69921875,2.0,1.4295474573274747,128
delayed_lever,learned_acct,2,200,1.60546875,2.0,1.5350041445029114,128
delayed_lever,learned_acct,2,220,1.6875,2.0,1.5459770714026353,128
delayed_lever,learned_acct,2,240,1.8046875,2.0,1.672880673508805,128
delayed_lever,learned_acct,2,260,1.84375,2.0,1.669673036368554,128
delayed_lever,learned_acct,2,280,1.72265625,2.0,1.7096722102294464,128
delayed_lever,learned_acct,2,300,1.9609375,2.0,1.7650207061123289,128
delayed_lever,learned_acct,2,320,1.8046875,2.0,1.7786543380565838,128
delayed_lever,learned_acct,2,340,1.78125,2.0,1.7938845403309156,128
delayed_lever,learned_acct,2,360,1.90234375,2.0,1.8173773922542087,128
delayed_lever,learned_acct,2,380,1.8359375,2.0,1.8351074773504927,128
delayed_lever,learned_acct,2,400,1.94140625,2.0,1.8284201360315853,128
delayed_lever,learned_agent_time_cf,3,1,0.5703125,2.0,0.01,128
delayed_lever,learned_agent_time_cf,3,20,0.5703125,2.0,0.17754942060120918,128
delayed_lever,learned_agent_time_cf,3,40,0.828125,2.0,0.36550773162153777,128
delayed_lever,learned_agent_time_cf,3,60,1.00390625,2.0,0.5530830489840186,128
delayed_lever,learned_agent_time_cf,3,80,1.32421875,2.0,0.7310104625501104,128
delayed_lever,learned_agent_time_cf,3,100,1.3359375,2.0,0.8815097268776408,128
delayed_lever,learned_agent_time_cf,3,120,1.2421875,2.0,1.1168727439430188,128
delayed_lever,learned_agent_time_cf,3,140,1.4921875,2.0,1.2443599188902341,128
delayed_lever,learned_agent_time_cf,3,160,1.73828125,2.0,1.3260080531264458,128
delayed_lever,learned_agent_time_cf,3,180,1.640625,2.0,1.3663897904728792,128
delayed_lever,learned_agent_time_cf,3,200,1.671875,2.0,1.4269157072726029,128
delayed_lever,learned_agent_time_cf,3,220,1.7734375,2.0,1.540528952646647,128
delayed_lever,learned_agent_time_cf,3,240,1.78515625,2.0,1.6294099881713666,128
delayed_lever,learned_agent_time_cf,3,260,1.765625,2.0,1.7103581096958735,128
delayed_lever,learned_agent_time_cf,3,280,1.8359375,2.0,1.7256270455318192,128
delayed_lever,learned_agent_time_cf,3,300,1.8046875,2.0,1.781715000937103,128
delayed_lever,learned_agent_time_cf,3,320,1.8828125,2.0,1.7524383449852015,128
delayed_lever,learned_agent_time_cf,3,340,1.921875,2.0,1.767152985917447,128
delayed_lever,learned_agent_time_cf,3,360,1.859375,2.0,1.844549477199117,128
delayed_lever,learned_agent_time_cf,3,380,1.84375,2.0,1.8071199721586362,128
delayed_lever,learned_agent_time_cf,3,400,1.90234375,2.0,1.8531368128059487,128
delayed_lever,learned_acct,3,1,0.5703125,2.0,0.01,128
delayed_lever,learned_acct,3,20,0.56640625,2.0,0.17754942060120918,128
delayed_lever,learned_acct,3,40,0.83203125,2.0,0.36550773162153777,128
delayed_lever,learned_acct,3,60,1.0234375,2.0,0.5530830489840186,128
delayed_lever,learned_acct,3,80,1.36328125,2.0,0.7347786722574852,128
delayed_lever,learned_acct,3,100,1.37890625,2.0,0.8881107777519667,128
delayed_lever,learned_acct,3,120,1.3203125,2.0,1.1212796581286795,128
delayed_lever,learned_acct,3,140,1.55078125,2.0,1.2515558250443297,128
delayed_lever,learned_acct,3,160,1.76171875,2.0,1.355312097438922,128
delayed_lever,learned_acct,3,180,1.68359375,2.0,1.3859534040605532,128
delayed_lever,learned_acct,3,200,1.6953125,2.0,1.4825494113538593,128
delayed_lever,learned_acct,3,220,1.8125,2.0,1.5972883750829279,128
delayed_lever,learned_acct,3,240,1.86328125,2.0,1.6673030310620423,128
delayed_lever,learned_acct,3,260,1.8046875,2.0,1.753388851358262,128
delayed_lever,learned_acct,3,280,1.83984375,2.0,1.7543547116961644,128
delayed_lever,learned_acct,3,300,1.84375,2.0,1.8008938198783389,128
delayed_lever,learned_acct,3,320,1.90234375,2.0,1.7652422773992178,128
delayed_lever,learned_acct,3,340,1.921875,2.0,1.7961278134390464,128
delayed_lever,learned_acct,3,360,1.90234375,2.0,1.863893303032766,128
delayed_lever,learned_acct,3,380,1.90234375,2.0,1.8440440644894218,128
delayed_lever,learned_acct,3,400,1.90234375,2.0,1.8958825742106147,128
delayed_lever,learned_agent_time_cf,4,1,0.59765625,2.0,0.005,128
delayed_lever,learned_agent_time_cf,4,20,0.71484375,2.0,0.2037300319330834,128
delayed_lever,learned_agent_time_cf,4,40,0.8359375,2.0,0.4084068018035763,128
delayed_lever,learned_agent_time_cf,4,60,1.0390625,2.0,0.5819802086048124,128
delayed_lever,learned_agent_time_cf,4,80,1.07421875,2.0,0.7596361931647989,128
delayed_lever,learned_agent_time_cf,4,100,1.24609375,2.0,0.9500238971317586,128
delayed_lever,learned_agent_time_cf,4,120,1.234375,2.0,1.0186544798727732,128
delayed_lever,learned_agent_time_cf,4,140,1.3046875,2.0,1.1185977282554844,128
delayed_lever,learned_agent_time_cf,4,160,1.53515625,2.0,1.22196863919829,128
delayed_lever,learned_agent_time_cf,4,180,1.59765625,2.0,1.3314110658660292,128
delayed_lever,learned_agent_time_cf,4,200,1.62890625,2.0,1.4478837528679918,128
delayed_lever,learned_agent_time_cf,4,220,1.6953125,2.0,1.5344309277524608,128
delayed_lever,learned_agent_time_cf,4,240,1.484375,2.0,1.557623126422269,128
delayed_lever,learned_agent_time_cf,4,260,1.76171875,2.0,1.6378892622005368,128
delayed_lever,learned_agent_time_cf,4,280,1.765625,2.0,1.695874493295113,128
delayed_lever,learned_agent_time_cf,4,300,1.7421875,2.0,1.6939639678177436,128
delayed_lever,learned_agent_time_cf,4,320,1.80078125,2.0,1.685672168968776,128
delayed_lever,learned_agent_time_cf,4,340,1.82421875,2.0,1.7114287203877736,128
delayed_lever,learned_agent_time_cf,4,360,1.80078125,2.0,1.7672574937053116,128
delayed_lever,learned_agent_time_cf,4,380,1.78125,2.0,1.7416458091948346,128
delayed_lever,learned_agent_time_cf,4,400,1.84375,2.0,1.8053746231605348,128
delayed_lever,learned_acct,4,1,0.59765625,2.0,0.005,128
delayed_lever,learned_acct,4,20,0.73828125,2.0,0.2037300319330834,128
delayed_lever,learned_acct,4,40,0.8671875,2.0,0.4084068018035763,128
delayed_lever,learned_acct,4,60,1.08984375,2.0,0.59708567929035,128
delayed_lever,learned_acct,4,80,1.19921875,2.0,0.7697207258115766,128
delayed_lever,learned_acct,4,100,1.28515625,2.0,0.9809434340975673,128
delayed_lever,learned_acct,4,120,1.3515625,2.0,1.043465348044774,128
delayed_lever,learned_acct,4,140,1.4609375,2.0,1.1390852452519513,128
delayed_lever,learned_acct,4,160,1.58984375,2.0,1.2544873174034723,128
delayed_lever,learned_acct,4,180,1.69921875,2.0,1.4135309609146338,128
delayed_lever,learned_acct,4,200,1.7265625,2.0,1.522325567535502,128
delayed_lever,learned_acct,4,220,1.7265625,2.0,1.5841288766564057,128
delayed_lever,learned_acct,4,240,1.58984375,2.0,1.5908018732904199,128
delayed_lever,learned_acct,4,260,1.78125,2.0,1.7059723745281794,128
delayed_lever,learned_acct,4,280,1.82421875,2.0,1.7413273218269452,128
delayed_lever,learned_acct,4,300,1.78125,2.0,1.724308638484412,128
delayed_lever,learned_acct,4,320,1.859375,2.0,1.7545419396489266,128
delayed_lever,learned_acct,4,340,1.90234375,2.0,1.7795527878283877,128
delayed_lever,learned_acct,4,360,1.87890625,2.0,1.8127376641970474,128
delayed_lever,learned_acct,4,380,1.80078125,2.0,1.836334712972499,128
delayed_lever,learned_acct,4,400,1.86328125,2.0,1.868589690159255,128
delayed_lever,learned_agent_time_cf,5,1,0.54296875,2.0,0.01,128
delayed_lever,learned_agent_time_cf,5,20,0.73046875,2.0,0.22291367917790836,128
delayed_lever,learned_agent_time_cf,5,40,0.8671875,2.0,0.3795386503477726,128
delayed_lever,learned_agent_time_cf,5,60,1.1953125,2.0,0.5001340997753303,128
delayed_lever,learned_agent_time_cf,5,80,1.19921875,2.0,0.7732579964983596,128
delayed_lever,learned_agent_time_cf,5,100,1.4921875,2.0,0.9692594112099628,128
delayed_lever,learned_agent_time_cf,5,120,1.46484375,2.0,1.1314971462024959,128
delayed_lever,learned_agent_time_cf,5,140,1.4921875,2.0,1.260306513689737,128
delayed_lever,learned_agent_time_cf,5,160,1.6796875,2.0,1.408092637206497,128
delayed_lever,learned_agent_time_cf,5,180,1.68359375,2.0,1.411230076429489,128
delayed_lever,learned_agent_time_cf,5,200,1.65625,2.0,1.4866489915214351,128
delayed_lever,learned_agent_time_cf,5,220,1.671875,2.0,1.4847596695133534,128
delayed_lever,learned_agent_time_cf,5,240,1.71875,2.0,1.5496062990923116,128
delayed_lever,learned_agent_time_cf,5,260,1.73828125,2.0,1.649813574845747,128
delayed_lever,learned_agent_time_cf,5,280,1.90234375,2.0,1.7431535469666022,128
delayed_lever,learned_agent_time_cf,5,300,1.8046875,2.0,1.7514218054458055,128
delayed_lever,learned_agent_time_cf,5,320,1.86328125,2.0,1.8340472157111312,128
delayed_lever,learned_agent_time_cf,5,340,1.80078125,2.0,1.8892085982737976,128
delayed_lever,learned_agent_time_cf,5,360,1.859375,2.0,1.8028509088572542,128
delayed_lever,learned_agent_time_cf,5,380,1.8828125,2.0,1.788338759803773,128
delayed_lever,learned_agent_time_cf,5,400,1.86328125,2.0,1.793649081865388,128
delayed_lever,learned_acct,5,1,0.54296875,2.0,0.01,128
delayed_lever,learned_acct,5,20,0.734375,2.0,0.22291367917790836,128
delayed_lever,learned_acct,5,40,0.88671875,2.0,0.3795386503477726,128
delayed_lever,learned_acct,5,60,1.19921875,2.0,0.5001340997753303,128
delayed_lever,learned_acct,5,80,1.24609375,2.0,0.8128941983604746,128
delayed_lever,learned_acct,5,100,1.4921875,2.0,1.0000614832094383,128
delayed_lever,learned_acct,5,120,1.5234375,2.0,1.1895184907941057,128
delayed_lever,learned_acct,5,140,1.57421875,2.0,1.3223122863122372,128
delayed_lever,learned_acct,5,160,1.6796875,2.0,1.4725473893041117,128
delayed_lever,learned_acct,5,180,1.68359375,2.0,1.4542605827473551,128
delayed_lever,learned_acct,5,200,1.69921875,2.0,1.5201785005679003,128
delayed_lever,learned_acct,5,220,1.78125,2.0,1.5491382646079435,128
delayed_lever,learned_acct,5,240,1.76171875,2.0,1.5971978031878533,128
delayed_lever,learned_acct,5,260,1.8203125,2.0,1.6815860423677462,128
