env,total_pairs,relevant_pairs,irrelevant_pairs,method,seed,episode,sample_return,greedy_return,baseline
lever_20_pairs,20,4,16,shared,1,540,1.98046875,2.0,1.9118090362714384
lever_20_pairs,20,4,16,shared,1,560,1.94140625,2.0,1.9411230095780476
lever_20_pairs,20,4,16,shared,1,580,1.94140625,2.0,1.9606932518413565
lever_20_pairs,20,4,16,shared,1,600,1.94140625,2.0,1.9737585015855192
lever_20_pairs,20,4,16,shared,1,620,1.98046875,2.0,1.9824809664676941
lever_20_pairs,20,4,16,shared,1,640,1.921875,2.0,1.9883041535563875
lever_20_pairs,20,4,16,shared,1,660,1.94140625,2.0,1.992191759677821
lever_20_pairs,20,4,16,shared,1,680,1.921875,2.0,1.9717279525155338
lever_20_pairs,20,4,16,shared,1,700,1.94140625,2.0,1.964094540115534
lever_20_pairs,20,4,16,shared,1,720,1.98046875,2.0,1.9586508454801717
lever_20_pairs,20,4,16,shared,1,740,2.0,2.0,1.915841065172174
lever_20_pairs,20,4,16,shared,1,760,1.94140625,2.0,1.9438148242145261
lever_20_pairs,20,4,16,shared,1,780,2.0,2.0,1.9440261011850213
lever_20_pairs,20,4,16,shared,1,800,1.9375,2.0,1.9626313789409073
lever_20_pairs,20,4,16,shared,2,1,0.5546875,0.5,0.01
lever_20_pairs,20,4,16,shared,2,20,0.75390625,2.0,0.2259935531380662
lever_20_pairs,20,4,16,shared,2,40,0.91015625,2.0,0.397906665071842
lever_20_pairs,20,4,16,shared,2,60,1.01171875,2.0,0.5072870148594961
lever_20_pairs,20,4,16,shared,2,80,1.1875,2.0,0.7168484994750535
lever_20_pairs,20,4,16,shared,2,100,1.25390625,2.0,0.9943292535410931
lever_20_pairs,20,4,16,shared,2,120,1.5,2.0,1.1437931046763565
lever_20_pairs,20,4,16,shared,2,140,1.640625,2.0,1.2212640469173555
lever_20_pairs,20,4,16,shared,2,160,1.59765625,2.0,1.2624876506388754
lever_20_pairs,20,4,16,shared,2,180,1.78125,2.0,1.464875516567182
lever_20_pairs,20,4,16,shared,2,200,1.72265625,2.0,1.5992824014127884
lever_20_pairs,20,4,16,shared,2,220,1.74609375,2.0,1.6480469386271384
lever_20_pairs,20,4,16,shared,2,240,1.94140625,2.0,1.7410233305438676
lever_20_pairs,20,4,16,shared,2,260,1.86328125,2.0,1.7665318470491091
lever_20_pairs,20,4,16,shared,2,280,1.82421875,2.0,1.7743359243745027
lever_20_pairs,20,4,16,shared,2,300,1.9609375,2.0,1.831249921158861
lever_20_pairs,20,4,16,shared,2,320,1.8828125,2.0,1.842487408078101
lever_20_pairs,20,4,16,shared,2,340,1.80078125,2.0,1.8726972784595333
lever_20_pairs,20,4,16,shared,2,360,1.921875,2.0,1.8949934045047208
lever_20_pairs,20,4,16,shared,2,380,1.83984375,2.0,1.9298967597604892
lever_20_pairs,20,4,16,shared,2,400,1.94140625,2.0,1.8917022166054445
lever_20_pairs,20,4,16,shared,2,420,1.9609375,2.0,1.8824922583181407
lever_20_pairs,20,4,16,shared,2,440,1.94140625,2.0,1.9045200793042545
lever_20_pairs,20,4,16,shared,2,460,1.90234375,2.0,1.9185237996464595
lever_20_pairs,20,4,16,shared,2,480,1.94140625,2.0,1.9456058391356612
lever_20_pairs,20,4,16,shared,2,500,1.94140625,2.0,1.9636860245900385
lever_20_pairs,20,4,16,shared,2,520,1.921875,2.0,1.953610441008591
lever_20_pairs,20,4,16,shared,2,540,1.94140625,2.0,1.9690299606111323
lever_20_pairs,20,4,16,shared,2,560,1.9609375,2.0,1.9354749569656544
lever_20_pairs,20,4,16,shared,2,580,1.9609375,2.0,1.9569225668924302
lever_20_pairs,20,4,16,shared,2,600,1.8984375,2.0,1.9712411622546395
lever_20_pairs,20,4,16,shared,2,620,1.94140625,2.0,1.9808003706627861
lever_20_pairs,20,4,16,shared,2,640,1.90234375,2.0,1.987182174399733
lever_20_pairs,20,4,16,shared,2,660,1.94140625,2.0,1.9449306241118225
lever_20_pairs,20,4,16,shared,2,680,1.921875,2.0,1.9265865119581074
lever_20_pairs,20,4,16,shared,2,700,1.9609375,2.0,1.9068706520555152
lever_20_pairs,20,4,16,shared,2,720,1.98046875,2.0,1.920795289301911
lever_20_pairs,20,4,16,shared,2,740,1.9609375,2.0,1.9471223037373995
lever_20_pairs,20,4,16,shared,2,760,1.9609375,2.0,1.964698428447043
lever_20_pairs,20,4,16,shared,2,780,2.0,2.0,1.976432389415763
lever_20_pairs,20,4,16,shared,2,800,1.94140625,2.0,1.923554828595186
lever_20_pairs,20,4,16,shared,3,1,0.5546875,0.5,0.01
lever_20_pairs,20,4,16,shared,3,20,0.51171875,0.75,0.16832385661720922
lever_20_pairs,20,4,16,shared,3,40,0.7890625,2.0,0.3503962030956491
lever_20_pairs,20,4,16,shared,3,60,0.91796875,2.0,0.5208819491880448
lever_20_pairs,20,4,16,shared,3,80,1.1640625,2.0,0.6369760713949035
lever_20_pairs,20,4,16,shared,3,100,1.2578125,2.0,0.8417908217232878
lever_20_pairs,20,4,16,shared,3,120,1.37109375,2.0,1.1134152902325882
lever_20_pairs,20,4,16,shared,3,140,1.59375,2.0,1.2675745859086298
lever_20_pairs,20,4,16,shared,3,160,1.77734375,2.0,1.408996103464421
lever_20_pairs,20,4,16,shared,3,180,1.6640625,2.0,1.422155173299221
lever_20_pairs,20,4,16,shared,3,200,1.734375,2.0,1.5071699614876322
lever_20_pairs,20,4,16,shared,3,220,1.85546875,2.0,1.613725250621231
lever_20_pairs,20,4,16,shared,3,240,1.82421875,2.0,1.6782764202021596
lever_20_pairs,20,4,16,shared,3,260,1.84375,2.0,1.760714773425376
lever_20_pairs,20,4,16,shared,3,280,1.859375,2.0,1.7796723758408144
lever_20_pairs,20,4,16,shared,3,300,1.84375,2.0,1.8177960942875249
lever_20_pairs,20,4,16,shared,3,320,1.90234375,2.0,1.801526370535583
lever_20_pairs,20,4,16,shared,3,340,1.921875,2.0,1.7999245430925994
lever_20_pairs,20,4,16,shared,3,360,1.90234375,2.0,1.8664280300160763
lever_20_pairs,20,4,16,shared,3,380,1.90234375,2.0,1.845736268429703
lever_20_pairs,20,4,16,shared,3,400,1.90234375,2.0,1.8970123030509816
lever_20_pairs,20,4,16,shared,3,420,1.86328125,2.0,1.8919366709047485
lever_20_pairs,20,4,16,shared,3,440,1.94140625,2.0,1.9090150115047433
lever_20_pairs,20,4,16,shared,3,460,1.86328125,2.0,1.917988620805976
lever_20_pairs,20,4,16,shared,3,480,1.859375,2.0,1.9217187494754395
lever_20_pairs,20,4,16,shared,3,500,1.8828125,2.0,1.9060429173741127
lever_20_pairs,20,4,16,shared,3,520,1.9609375,2.0,1.9372735026361052
lever_20_pairs,20,4,16,shared,3,540,1.98046875,2.0,1.9581232903195893
lever_20_pairs,20,4,16,shared,3,560,1.84375,2.0,1.9528172150549814
lever_20_pairs,20,4,16,shared,3,580,1.9609375,2.0,1.9685003966410997
lever_20_pairs,20,4,16,shared,3,600,1.98046875,2.0,1.9328026136463803
lever_20_pairs,20,4,16,shared,3,620,2.0,2.0,1.9325404692692163
lever_20_pairs,20,4,16,shared,3,640,1.921875,2.0,1.954963479513271
lever_20_pairs,20,4,16,shared,3,660,1.94140625,2.0,1.9514690323368131
lever_20_pairs,20,4,16,shared,3,680,1.921875,2.0,1.9676003391110677
lever_20_pairs,20,4,16,shared,3,700,1.98046875,2.0,1.940147650783707
lever_20_pairs,20,4,16,shared,3,720,1.94140625,2.0,1.9419471515201208
lever_20_pairs,20,4,16,shared,3,740,1.9609375,2.0,1.9164445800071972
lever_20_pairs,20,4,16,shared,3,760,1.9609375,2.0,1.9055702766934888
lever_20_pairs,20,4,16,shared,3,780,1.98046875,2.0,1.9369579639499452
lever_20_pairs,20,4,16,shared,3,800,1.921875,2.0,1.9579126341773119
lever_20_pairs,20,4,16,shared,4,1,0.58984375,0.25,0.005
lever_20_pairs,20,4,16,shared,4,20,0.69140625,2.0,0.17473884317360536
lever_20_pairs,20,4,16,shared,4,40,0.9140625,2.0,0.389052053077092
lever_20_pairs,20,4,16,shared,4,60,1.1796875,2.0,0.6307075459898992
lever_20_pairs,20,4,16,shared,4,80,1.3828125,2.0,0.8441557555929631
lever_20_pairs,20,4,16,shared,4,100,1.453125,2.0,1.0814780857235835
lever_20_pairs,20,4,16,shared,4,120,1.53515625,2.0,1.208733388414216
lever_20_pairs,20,4,16,shared,4,140,1.6171875,2.0,1.3240223289833732
lever_20_pairs,20,4,16,shared,4,160,1.74609375,2.0,1.4234933276383797
lever_20_pairs,20,4,16,shared,4,180,1.8203125,2.0,1.5697758557081256
lever_20_pairs,20,4,16,shared,4,200,1.8828125,2.0,1.6746657048456735
lever_20_pairs,20,4,16,shared,4,220,1.8046875,2.0,1.7112591869151308
lever_20_pairs,20,4,16,shared,4,240,1.70703125,2.0,1.7387518200786132
lever_20_pairs,20,4,16,shared,4,260,1.84375,2.0,1.8255886324779733
lever_20_pairs,20,4,16,shared,4,280,1.921875,2.0,1.8431239934061616
lever_20_pairs,20,4,16,shared,4,300,1.8203125,2.0,1.876042767689346
lever_20_pairs,20,4,16,shared,4,320,1.8984375,2.0,1.8558408538934577
lever_20_pairs,20,4,16,shared,4,340,1.921875,2.0,1.9037582048578652
lever_20_pairs,20,4,16,shared,4,360,1.8984375,2.0,1.8956581907410928
lever_20_pairs,20,4,16,shared,4,380,1.859375,2.0,1.891693117515434
lever_20_pairs,20,4,16,shared,4,400,1.90234375,2.0,1.9276934618573618
lever_20_pairs,20,4,16,shared,4,420,1.8828125,2.0,1.9317092949572157
lever_20_pairs,20,4,16,shared,4,440,1.8828125,2.0,1.935567532379789
lever_20_pairs,20,4,16,shared,4,460,1.921875,2.0,1.956984370976895
lever_20_pairs,20,4,16,shared,4,480,1.90234375,2.0,1.9712824231541148
lever_20_pairs,20,4,16,shared,4,500,1.9609375,2.0,1.9808279167681972
lever_20_pairs,20,4,16,shared,4,520,1.921875,2.0,1.9872005643992967
lever_20_pairs,20,4,16,shared,4,540,1.90234375,2.0,1.991454994759005
lever_20_pairs,20,4,16,shared,4,560,1.94140625,2.0,1.9361556051020512
lever_20_pairs,20,4,16,shared,4,580,1.921875,2.0,1.9573769730142492
lever_20_pairs,20,4,16,shared,4,600,2.0,2.0,1.9085324076849195
lever_20_pairs,20,4,16,shared,4,620,1.9609375,2.0,1.9389355062132068
lever_20_pairs,20,4,16,shared,4,640,1.94140625,2.0,1.8610223036270799
lever_20_pairs,20,4,16,shared,4,660,1.90234375,2.0,1.8508786447798933
lever_20_pairs,20,4,16,shared,4,680,1.921875,2.0,1.8653196358753235
lever_20_pairs,20,4,16,shared,4,700,1.921875,2.0,1.910086315271487
lever_20_pairs,20,4,16,shared,4,720,1.94140625,2.0,1.9002396041746905
lever_20_pairs,20,4,16,shared,4,740,2.0,2.0,1.9129723443093911
lever_20_pairs,20,4,16,shared,4,760,1.98046875,2.0,1.9178896432977914
lever_20_pairs,20,4,16,shared,4,780,1.98046875,2.0,1.9270875282871387
lever_20_pairs,20,4,16,shared,4,800,1.94140625,2.0,1.951323052644126
lever_20_pairs,20,4,16,shared,5,1,0.53515625,0.5,0.01
lever_20_pairs,20,4,16,shared,5,20,0.7421875,2.0,0.22271963917790832
lever_20_pairs,20,4,16,shared,5,40,0.875,2.0,0.37515529258402425
lever_20_pairs,20,4,16,shared,5,60,0.99609375,2.0,0.49744798727733447
lever_20_pairs,20,4,16,shared,5,80,1.1015625,2.0,0.7035821600690412
lever_20_pairs,20,4,16,shared,5,100,1.49609375,2.0,0.884284300740803
lever_20_pairs,20,4,16,shared,5,120,1.5859375,2.0,1.095566110365887
lever_20_pairs,20,4,16,shared,5,140,1.59765625,2.0,1.2540060257414363
lever_20_pairs,20,4,16,shared,5,160,1.7578125,2.0,1.4519455852262648
lever_20_pairs,20,4,16,shared,5,180,1.74609375,2.0,1.4823302337639508
lever_20_pairs,20,4,16,shared,5,200,1.7578125,2.0,1.5597617174042169
lever_20_pairs,20,4,16,shared,5,220,1.8203125,2.0,1.5755643357155793
lever_20_pairs,20,4,16,shared,5,240,1.7421875,2.0,1.6148400589214784
lever_20_pairs,20,4,16,shared,5,260,1.8359375,2.0,1.693364152935256
lever_20_pairs,20,4,16,shared,5,280,1.94140625,2.0,1.7952874640737013
lever_20_pairs,20,4,16,shared,5,300,1.84375,2.0,1.7862268241053245
lever_20_pairs,20,4,16,shared,5,320,1.94140625,2.0,1.8572833236253106
lever_20_pairs,20,4,16,shared,5,340,1.83984375,2.0,1.9047212091498653
lever_20_pairs,20,4,16,shared,5,360,1.91796875,2.0,1.8532519898064106
lever_20_pairs,20,4,16,shared,5,380,1.921875,2.0,1.8637299673850198
lever_20_pairs,20,4,16,shared,5,400,1.90234375,2.0,1.868480853046872
lever_20_pairs,20,4,16,shared,5,420,1.921875,2.0,1.8944637249011453
lever_20_pairs,20,4,16,shared,5,440,1.83984375,2.0,1.8890815292880418
lever_20_pairs,20,4,16,shared,5,460,1.87890625,2.0,1.9259499447378134
lever_20_pairs,20,4,16,shared,5,480,1.921875,2.0,1.9049063688780588
lever_20_pairs,20,4,16,shared,5,500,1.94140625,2.0,1.8938984301111086
lever_20_pairs,20,4,16,shared,5,520,1.9609375,2.0,1.8933231352888849
lever_20_pairs,20,4,16,shared,5,540,1.98046875,2.0,1.908763390948275
lever_20_pairs,20,4,16,shared,5,560,1.90234375,2.0,1.9001986647428413
lever_20_pairs,20,4,16,shared,5,580,1.9609375,2.0,1.9152768899757056
lever_20_pairs,20,4,16,shared,5,600,1.9609375,2.0,1.9189381763558973
lever_20_pairs,20,4,16,shared,5,620,1.95703125,2.0,1.945882480330191
lever_20_pairs,20,4,16,shared,5,640,1.921875,2.0,1.9638707124568224
lever_20_pairs,20,4,16,shared,5,660,1.98046875,2.0,1.9758797996223425
lever_20_pairs,20,4,16,shared,5,680,1.98046875,2.0,1.9612991420275456
lever_20_pairs,20,4,16,shared,5,700,2.0,2.0,1.9324199545493113
lever_20_pairs,20,4,16,shared,5,720,1.98046875,2.0,1.9327369634039484
lever_20_pairs,20,4,16,shared,5,740,1.94140625,2.0,1.9550946605640211
lever_20_pairs,20,4,16,shared,5,760,2.0,2.0,1.9700208374181716
lever_20_pairs,20,4,16,shared,5,780,1.9609375,2.0,1.9799856720738294
lever_20_pairs,20,4,16,shared,5,800,2.0,2.0,1.9635790711271677
lever_20_pairs,20,4,16,shared,6,1,0.703125,2.0,0.04
lever_20_pairs,20,4,16,shared,6,20,0.796875,2.0,0.2798804743131704
lever_20_pairs,20,4,16,shared,6,40,0.98046875,2.0,0.5472320227184915
lever_20_pairs,20,4,16,shared,6,60,1.23828125,2.0,0.7590675090740436
lever_20_pairs,20,4,16,shared,6,80,1.3125,2.0,0.8990900428788653
lever_20_pairs,20,4,16,shared,6,100,1.63671875,2.0,1.0953191714569905
lever_20_pairs,20,4,16,shared,6,120,1.78125,2.0,1.249807673478512
lever_20_pairs,20,4,16,shared,6,140,1.69140625,2.0,1.41909745189569
lever_20_pairs,20,4,16,shared,6,160,1.8046875,2.0,1.511643348109901
lever_20_pairs,20,4,16,shared,6,180,1.80078125,2.0,1.5671760273221995
lever_20_pairs,20,4,16,shared,6,200,1.8046875,2.0,1.6370056359428837
lever_20_pairs,20,4,16,shared,6,220,1.78125,2.0,1.695665767488502
lever_20_pairs,20,4,16,shared,6,240,1.921875,2.0,1.7529211422441018
lever_20_pairs,20,4,16,shared,6,260,1.8828125,2.0,1.765741549613972
lever_20_pairs,20,4,16,shared,6,280,1.86328125,2.0,1.74920184557753
lever_20_pairs,20,4,16,shared,6,300,1.91796875,2.0,1.7762264155807075
lever_20_pairs,20,4,16,shared,6,320,1.87890625,2.0,1.8313814114419664
lever_20_pairs,20,4,16,shared,6,340,1.8984375,2.0,1.8638990860925646
lever_20_pairs,20,4,16,shared,6,360,1.90234375,2.0,1.8500558938389573
lever_20_pairs,20,4,16,shared,6,380,1.95703125,2.0,1.8798778356404509
lever_20_pairs,20,4,16,shared,6,400,1.859375,2.0,1.8805616419888418
lever_20_pairs,20,4,16,shared,6,420,1.921875,2.0,1.8972027960584117
lever_20_pairs,20,4,16,shared,6,440,1.94140625,2.0,1.911753849081091
lever_20_pairs,20,4,16,shared,6,460,1.9609375,2.0,1.9410861661698335
lever_20_pairs,20,4,16,shared,6,480,1.9609375,2.0,1.941050736794956
lever_20_pairs,20,4,16,shared,6,500,1.9609375,2.0,1.8947566186837976
lever_20_pairs,20,4,16,shared,6,520,1.9609375,2.0,1.929738679658842
lever_20_pairs,20,4,16,shared,6,540,1.921875,2.0,1.913825113725143
lever_20_pairs,20,4,16,shared,6,560,2.0,2.0,1.9224506751890718
lever_20_pairs,20,4,16,shared,6,580,1.9609375,2.0,1.929386404015127
lever_20_pairs,20,4,16,shared,6,600,1.98046875,2.0,1.9528578004062054
lever_20_pairs,20,4,16,shared,6,620,1.9609375,2.0,1.9244992079763683
lever_20_pairs,20,4,16,shared,6,640,1.94140625,2.0,1.9495950693712
lever_20_pairs,20,4,16,shared,6,660,2.0,2.0,1.9241162223419341
lever_20_pairs,20,4,16,shared,6,680,2.0,2.0,1.9493393851085845
lever_20_pairs,20,4,16,shared,6,700,1.94140625,2.0,1.945334875591222
lever_20_pairs,20,4,16,shared,6,720,1.94140625,2.0,1.9418019888365479
lever_20_pairs,20,4,16,shared,6,740,1.98046875,2.0,1.9244978101076198
lever_20_pairs,20,4,16,shared,6,760,1.94140625,2.0,1.9325633205368826
lever_20_pairs,20,4,16,shared,6,780,2.0,2.0,1.9376003519303036
lever_20_pairs,20,4,16,shared,6,800,1.94140625,2.0,1.9583414975139586
lever_20_pairs,20,4,16,shared,7,1,0.57421875,2.0,0.04
lever_20_pairs,20,4,16,shared,7,20,0.6640625,2.0,0.17678441294853825
lever_20_pairs,20,4,16,shared,7,40,0.6640625,2.0,0.31016027385606393
lever_20_pairs,20,4,16,shared,7,60,1.01171875,2.0,0.5205211581129814
lever_20_pairs,20,4,16,shared,7,80,1.19921875,2.0,0.7393828475402895
lever_20_pairs,20,4,16,shared,7,100,1.36328125,2.0,0.991802746291119
lever_20_pairs,20,4,16,shared,7,120,1.65234375,2.0,1.1838787276217388
lever_20_pairs,20,4,16,shared,7,140,1.6328125,2.0,1.2053020968228847
lever_20_pairs,20,4,16,shared,7,160,1.65625,2.0,1.3904262277311061
lever_20_pairs,20,4,16,shared,7,180,1.75390625,2.0,1.4324535966669434
lever_20_pairs,20,4,16,shared,7,200,1.77734375,2.0,1.5828016056233774
lever_20_pairs,20,4,16,shared,7,220,1.859375,2.0,1.699328966589141
lever_20_pairs,20,4,16,shared,7,240,1.76171875,2.0,1.7522004172190682
lever_20_pairs,20,4,16,shared,7,260,1.90234375,2.0,1.727261065518496
lever_20_pairs,20,4,16,shared,7,280,1.8828125,2.0,1.7494312889599686
lever_20_pairs,20,4,16,shared,7,300,1.86328125,2.0,1.8087083310372762
lever_20_pairs,20,4,16,shared,7,320,1.90234375,2.0,1.8522738731014041
lever_20_pairs,20,4,16,shared,7,340,1.87890625,2.0,1.8615787787000122
lever_20_pairs,20,4,16,shared,7,360,1.8828125,2.0,1.8476855931770446
lever_20_pairs,20,4,16,shared,7,380,1.8828125,2.0,1.8778868676196574
lever_20_pairs,20,4,16,shared,7,400,1.921875,2.0,1.8963302398452981
lever_20_pairs,20,4,16,shared,7,420,1.94140625,2.0,1.913410858419356
lever_20_pairs,20,4,16,shared,7,440,1.8828125,2.0,1.9191331948133314
lever_20_pairs,20,4,16,shared,7,460,1.98046875,2.0,1.905319713272201
lever_20_pairs,20,4,16,shared,7,480,1.94140625,2.0,1.9122906858124633
lever_20_pairs,20,4,16,shared,7,500,1.9375,2.0,1.941444562651228
lever_20_pairs,20,4,16,shared,7,520,1.921875,2.0,1.923218135938716
