env,variant,method,lambda,beta,seed,episode,sample_return,greedy_return,baseline
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,2,140,1.62109375,2.0,1.2537859074661106
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,2,160,1.62109375,2.0,1.2841995039975325
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,2,180,1.8203125,2.0,1.4793705229509997
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,2,200,1.7421875,2.0,1.6089593832252658
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,2,220,1.765625,2.0,1.6545073688276775
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,2,240,1.921875,2.0,1.7453363652467144
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,2,260,1.8828125,2.0,1.7730302520021484
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,2,280,1.84375,2.0,1.7786743113248444
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,2,300,1.9609375,2.0,1.8341462628714678
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,2,320,1.8828125,2.0,1.8444210288943637
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,2,340,1.80078125,2.0,1.8739881791308217
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,2,360,1.921875,2.0,1.8958552200836165
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,2,380,1.83984375,2.0,1.9304721147111428
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,2,400,1.94140625,2.0,1.8920863281570892
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,3,1,0.5703125,2.0,0.01
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,3,20,0.5546875,2.0,0.17302981661720915
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,3,40,0.82421875,2.0,0.3624904079726432
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,3,60,1.00390625,2.0,0.5500723164164004
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,3,80,1.37890625,2.0,0.6951614512071971
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,3,100,1.4609375,2.0,0.9006541288943178
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,3,120,1.390625,2.0,1.152712903343837
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,3,140,1.58984375,2.0,1.293809985692647
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,3,160,1.78515625,2.0,1.4020110655024127
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,3,180,1.703125,2.0,1.47449281913635
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,3,200,1.75390625,2.0,1.5421109910713944
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,3,220,1.89453125,2.0,1.637052160512681
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,3,240,1.86328125,2.0,1.7134675692954744
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,3,260,1.86328125,2.0,1.7842086650952946
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,3,280,1.87890625,2.0,1.7953570852072027
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,3,300,1.86328125,2.0,1.8282673312951878
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,3,320,1.921875,2.0,1.8302201901672035
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,3,340,1.921875,2.0,1.8645075859909612
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,3,360,1.90234375,2.0,1.9095441842952243
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,3,380,1.90234375,2.0,1.8745209567378844
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,3,400,1.90234375,2.0,1.9162291904300097
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,4,1,0.59765625,2.0,0.005
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,4,20,0.7421875,2.0,0.1792300319330834
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,4,40,0.91015625,2.0,0.3920504064955765
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,4,60,1.171875,2.0,0.6002915833775515
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,4,80,1.34375,2.0,0.8417847451081483
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,4,100,1.4453125,2.0,1.0798951802228065
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,4,120,1.53515625,2.0,1.1671108191607182
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,4,140,1.63671875,2.0,1.3116839492275285
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,4,160,1.74609375,2.0,1.415256126954836
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,4,180,1.80078125,2.0,1.564276634866846
