env,episode,method,n,sample_return_mean,sample_return_std,greedy_return_mean,greedy_return_std,acct_q_loss_mean,acct_q_loss_std
lbforaging:Foraging-5x5-2p-1f-v3,60,epymarl_acct_learned_qhead,3,0,0,0,0,0.00164886,0.000960287
lbforaging:Foraging-5x5-2p-1f-v3,60,epymarl_mappo,3,0.277778,0.254588,0,0,,
