env,method,metric,mean,std,seeds,final_episode
lbf_3x3_2p1f_coop,lbf_ppo_shared,greedy_final,0.1172,0.0793,16,1000
lbf_3x3_2p1f_coop,lbf_ppo_shared,sample_final,0.3164,0.0897,16,1000
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,greedy_final,0.1016,0.1010,16,1000
lbf_3x3_2p1f_coop,lbf_ppo_learned_agent_time_cf,sample_final,0.2070,0.1121,16,1000
lbf_3x3_2p1f_coop,lbf_ppo_learned_acct,greedy_final,0.1016,0.0658,16,1000
lbf_3x3_2p1f_coop,lbf_ppo_learned_acct,sample_final,0.1719,0.1159,16,1000
