env,perturbation,method,seed,episode,sample_return,greedy_return,baseline
delayed_lever,scale_0.25,perturbed_agent_time_cf,2,280,1.12109375,2.0,1.1218958491817974
delayed_lever,scale_0.25,perturbed_agent_time_cf,2,300,1.36328125,2.0,1.190091387871024
delayed_lever,scale_0.25,perturbed_agent_time_cf,2,320,1.18359375,2.0,1.1632587758824988
delayed_lever,scale_0.25,perturbed_agent_time_cf,2,340,1.2109375,2.0,1.2115830485187502
delayed_lever,scale_0.25,perturbed_agent_time_cf,2,360,1.2890625,2.0,1.318637877051991
delayed_lever,scale_0.25,perturbed_agent_time_cf,2,380,1.45703125,2.0,1.3210470300725576
delayed_lever,scale_0.25,perturbed_agent_time_cf,2,400,1.44140625,2.0,1.3088280177330585
delayed_lever,scale_0.25,perturbed_agent_time_cf,3,1,0.5703125,2.0,0.01
delayed_lever,scale_0.25,perturbed_agent_time_cf,3,20,0.4765625,2.0,0.17302981661720915
delayed_lever,scale_0.25,perturbed_agent_time_cf,3,40,0.6484375,2.0,0.31839994184710535
delayed_lever,scale_0.25,perturbed_agent_time_cf,3,60,0.64453125,2.0,0.46861284878743137
delayed_lever,scale_0.25,perturbed_agent_time_cf,3,80,0.7265625,2.0,0.5212435900153682
delayed_lever,scale_0.25,perturbed_agent_time_cf,3,100,0.6796875,2.0,0.6496893006775566
delayed_lever,scale_0.25,perturbed_agent_time_cf,3,120,0.6171875,2.0,0.6657075841626214
delayed_lever,scale_0.25,perturbed_agent_time_cf,3,140,0.88671875,2.0,0.6976211832001974
delayed_lever,scale_0.25,perturbed_agent_time_cf,3,160,1.0859375,2.0,0.691186810877249
delayed_lever,scale_0.25,perturbed_agent_time_cf,3,180,0.87890625,2.0,0.7177812314507821
delayed_lever,scale_0.25,perturbed_agent_time_cf,3,200,0.9921875,2.0,0.7359738621759913
delayed_lever,scale_0.25,perturbed_agent_time_cf,3,220,1.14453125,2.0,0.829597253230743
delayed_lever,scale_0.25,perturbed_agent_time_cf,3,240,1.05078125,2.0,0.919538143753945
delayed_lever,scale_0.25,perturbed_agent_time_cf,3,260,1.046875,2.0,0.9490104640169394
delayed_lever,scale_0.25,perturbed_agent_time_cf,3,280,1.03125,2.0,0.9244749712714305
delayed_lever,scale_0.25,perturbed_agent_time_cf,3,300,1.32421875,2.0,1.056127456637315
delayed_lever,scale_0.25,perturbed_agent_time_cf,3,320,1.28125,2.0,1.1216624613084538
delayed_lever,scale_0.25,perturbed_agent_time_cf,3,340,1.3984375,2.0,1.0985994794361722
delayed_lever,scale_0.25,perturbed_agent_time_cf,3,360,1.33203125,2.0,1.1997739218182646
delayed_lever,scale_0.25,perturbed_agent_time_cf,3,380,1.4375,2.0,1.2040820403186665
delayed_lever,scale_0.25,perturbed_agent_time_cf,3,400,1.49609375,2.0,1.2710061351212687
delayed_lever,scale_0.25,perturbed_agent_time_cf,4,1,0.59765625,2.0,0.005
delayed_lever,scale_0.25,perturbed_agent_time_cf,4,20,0.625,2.0,0.1651874042668498
delayed_lever,scale_0.25,perturbed_agent_time_cf,4,40,0.625,2.0,0.3196058642849366
delayed_lever,scale_0.25,perturbed_agent_time_cf,4,60,0.73828125,2.0,0.4332169746064227
delayed_lever,scale_0.25,perturbed_agent_time_cf,4,80,0.71484375,2.0,0.47674229220854375
delayed_lever,scale_0.25,perturbed_agent_time_cf,4,100,0.68359375,2.0,0.6050869106011658
delayed_lever,scale_0.25,perturbed_agent_time_cf,4,120,0.73828125,2.0,0.6225195887287204
